ID,sha1,annee,largeur,hauteur,url,couleur,taille
77,Aventura20111016%282%29.jpg,2024,0,0,http://commons.wikimedia.org/wiki/Special:FilePath/Aventura20111016%282%29.jpg,"[104.66527293844369, 112.16074332171927, 52.36933797909502]",petite
78,Eishin%20Washington%202%2019960616.JPG,2024,0,0,http://commons.wikimedia.org/wiki/Special:FilePath/Eishin%20Washington%202%2019960616.JPG,,petite
79,Cosmo-phantom20110105.jpg,2024,0,0,http://commons.wikimedia.org/wiki/Special:FilePath/Cosmo-phantom20110105.jpg,"[103.9701401584398, 108.65173674588672, 75.20079219987716]",petite
80,Escape%20Hatch%2020080720P1.jpg,2024,0,0,http://commons.wikimedia.org/wiki/Special:FilePath/Escape%20Hatch%2020080720P1.jpg,"[52.4765700483096, 46.12415458937316, 42.53502415458749]",petite
81,Oro-Meister20100116.jpg,2024,0,0,http://commons.wikimedia.org/wiki/Special:FilePath/Oro-Meister20100116.jpg,"[138.9144788146604, 144.4985703145317, 110.86742916558316]",petite
82,King%20Kamehameha%2020081005P1.jpg,2024,0,0,http://commons.wikimedia.org/wiki/Special:FilePath/King%20Kamehameha%2020081005P1.jpg,"[28.462942167319184, 26.964345873105103, 33.63784390791484]",petite
83,King%20Halo%202%2019971005.JPG,2024,0,0,http://commons.wikimedia.org/wiki/Special:FilePath/King%20Halo%202%2019971005.JPG,,petite
84,Air%20Jihad%2019991031C1.jpg,2024,0,0,http://commons.wikimedia.org/wiki/Special:FilePath/Air%20Jihad%2019991031C1.jpg,"[179.2933238636361, 181.65269886363532, 146.61529356060652]",petite
85,Air%20Shady%2020080629P1.jpg,2024,0,0,http://commons.wikimedia.org/wiki/Special:FilePath/Air%20Shady%2020080629P1.jpg,"[64.06372549019555, 59.28114186851491, 57.855824682811615]",petite
86,Eishin-Flash20100418.jpg,2024,0,0,http://commons.wikimedia.org/wiki/Special:FilePath/Eishin-Flash20100418.jpg,"[152.45633059789037, 138.90738569754103, 118.81565064478437]",petite
87,Ocean%20Blue%28JPN%29%2020130323nakayamarc.jpg,2024,0,0,http://commons.wikimedia.org/wiki/Special:FilePath/Ocean%20Blue%28JPN%29%2020130323nakayamarc.jpg,"[110.82794943820176, 126.328183520599, 45.14934456929113]",petite
88,Kawakami%20Princess%2020070624P1.jpg,2024,0,0,http://commons.wikimedia.org/wiki/Special:FilePath/Kawakami%20Princess%2020070624P1.jpg,"[67.01655011655191, 58.80023310023112, 48.22237762237879]",petite
89,Kingsbarns%20%28horse%29.jpg,2024,0,0,http://commons.wikimedia.org/wiki/Special:FilePath/Kingsbarns%20%28horse%29.jpg,"[124.31706036745419, 163.5002624671926, 53.698950131232905]",petite
90,Cosmo%20Bulk%2020051225P1.jpg,2024,0,0,http://commons.wikimedia.org/wiki/Special:FilePath/Cosmo%20Bulk%2020051225P1.jpg,"[74.04843415677726, 81.10036957790186, 78.39875510601038]",petite
91,Gulch%20%28horse%29%202.jpg,2024,0,0,http://commons.wikimedia.org/wiki/Special:FilePath/Gulch%20%28horse%29%202.jpg,"[45.459570778234664, 49.045740299153735, 49.20659007153864]",petite
92,Ayusan-20130407.JPG,2024,0,0,http://commons.wikimedia.org/wiki/Special:FilePath/Ayusan-20130407.JPG,,petite
93,Winning%20Ticket%2020070422P1.jpg,2024,0,0,http://commons.wikimedia.org/wiki/Special:FilePath/Winning%20Ticket%2020070422P1.jpg,"[42.53762711864192, 41.43423728813765, 39.789152542372236]",petite
94,%E3%82%A8%E3%82%A2%E3%83%A1%E3%82%B5%E3%82%A4%E3%82%A2.JPG,2024,0,0,http://commons.wikimedia.org/wiki/Special:FilePath/%E3%82%A8%E3%82%A2%E3%83%A1%E3%82%B5%E3%82%A4%E3%82%A2.JPG,,petite
95,Helene%28horse%29.jpg,2024,0,0,http://commons.wikimedia.org/wiki/Special:FilePath/Helene%28horse%29.jpg,"[159.95543083525922, 109.00132056784439, 79.87091449323226]",petite
96,Obruchev%20Miyako-Stakes%202013.jpg,2024,0,0,http://commons.wikimedia.org/wiki/Special:FilePath/Obruchev%20Miyako-Stakes%202013.jpg,"[197.45179584120916, 184.15500945179667, 176.0652173913026]",petite
97,Grandezza20120527.jpg,2024,0,0,http://commons.wikimedia.org/wiki/Special:FilePath/Grandezza20120527.jpg,"[34.07526020816563, 33.02268481451724, 22.07739524953267]",petite
98,%E3%82%A8%E3%82%A4%E3%83%86%E3%82%A3%E3%83%88%E3%82%A6%E3%82%B7%E3%83%A7%E3%82%A6.jpg,2024,0,0,http://commons.wikimedia.org/wiki/Special:FilePath/%E3%82%A8%E3%82%A4%E3%83%86%E3%82%A3%E3%83%88%E3%82%A6%E3%82%B7%E3%83%A7%E3%82%A6.jpg,"[69.75858444288613, 66.20988086895585, 49.71969166082557]",petite
99,A-Shin-Forward20100228.jpg,2024,0,0,http://commons.wikimedia.org/wiki/Special:FilePath/A-Shin-Forward20100228.jpg,"[174.09395973154366, 193.5570469798672, 192.2322147650985]",petite
